Classification,Rndrng Prvdr Zip5,Tot Mdcr Pymt Amt
urban,11787,47921880
urban,34741,42440504
urban,78414,43235977
urban,78414,1648923
urban,65270,7618421
urban,93552,22643299
rural,27565,5453228
rural,33870,14393963
urban,02138,48153182
urban,02138,28878152
urban,95608,86999419
rural,25550,3059148
urban,12901,44814199
urban,85255,32679757
rural,37650,832525
urban,61455,6325089
urban,95667,28890719
urban,31061,6773541
rural,38019,4705125
urban,50158,4971534
urban,56201,9056949
urban,11576,180163600
urban,46804,4803042
urban,46804,62009777
rural,54868,6545145
urban,67037,4629511
urban,63128,77922331
urban,36744,1125488
urban,29621,55317747
urban,54915,20214927
urban,77379,693516
urban,83605,7401279
urban,98531,14195007
rural,34972,11183245
urban,28203,180624371
urban,74601,8202926
urban,27577,29412161
urban,10037,35229870
rural,79339,877064
urban,94545,18310474
urban,75165,22167949
rural,45502,383334
rural,30553,4814349
urban,78155,14582281
urban,97301,75500622
urban,98029,19183239
urban,90503,45209553
urban,72022,4674222
urban,67530,6654361
urban,80023,17236587
urban,07444,41888282
rural,28472,12209151
urban,94040,115101700
urban,82901,8517156
urban,66604,84498139
urban,24014,128017859
urban,68124,70115592
urban,08534,26824958
urban,43016,15843636
urban,77802,61297671
urban,77802,2505010
urban,95355,2588103
urban,95355,90487114
rural,40962,4341185
urban,35462,409088
urban,74012,4988906
urban,67337,5207383
rural,71055,6016830
rural,68701,24989369
urban,38834,34323239
urban,95695,12479980
urban,85120,2239681
urban,44124,66814799
urban,34601,14182488
urban,43113,6228337
urban,36867,12896499
urban,10021,139177818
urban,10021,101121979
urban,41056,6404568
urban,71701,2779222
rural,74023,1735231
urban,98112,
urban,11213,335083
urban,80751,5925579
urban,06830,45428100
urban,30312,30926188
urban,46750,3100825
urban,61108,48367614
urban,48838,5837146
urban,95966,62243841
urban,76384,4657126
urban,82501,9880554
urban,85755,14085076
urban,19152,24297108
urban,30014,12715933
urban,46725,3497182
urban,91402,28306480
urban,91402,6955968
rural,36078,916780
urban,35957,17045842
urban,06450,33146710
urban,23439,37641558
urban,40601,12544711
urban,34233,28918672
urban,94143,394095362
urban,17403,117322244
urban,17403,1221132
urban,84057,7732300
urban,61350,11875335
urban,30513,3372410
rural,40033,3488694
urban,45342,14289200
urban,73080,1233785
urban,76051,35800951
urban,29550,11683724
rural,06069,11134463
urban,16146,13215685
rural,56031,5487722
rural,46725,3497182
urban,75234,6120050
urban,95116,66600862
urban,30180,9954917
urban,23229,69510431
urban,34223,12020238
urban,85032,11363296
urban,45804,28508677
urban,45804,3727491
urban,93003,49472516
urban,93003,26920157
urban,21224,148238480
urban,95476,4534615
urban,48236,80487316
urban,43812,8356121
urban,80045,167252207
urban,04938,4965241
urban,55350,6248068
urban,98223,3614068
urban,36532,27031099
rural,53916,4688957
urban,15237,33021287
urban,76028,26420141
urban,76028,423556
urban,76092,723584
urban,76092,2374673
urban,96001,51200126
urban,96001,486968
urban,96001,87279267
urban,26003,34221475
urban,19107,227591089
urban,19107,57266382
urban,19107,234804
urban,46176,9304188
urban,78229,243048088
urban,78229,115212301
urban,78229,68470468
rural,38485,1372676
urban,79415,60122102
urban,74447,1936481
urban,24333,7054834
rural,37857,749220
urban,02176,31818715
rural,55744,7677016
urban,59806,63291130
urban,61938,29579215
urban,70816,14004620
urban,37087,12226159
urban,52403,31240044
urban,76903,52044929
urban,32224,126454582
urban,60525,33686841
urban,80909,93811394
urban,87701,2811018
urban,71269,2026958
urban,48235,40696827
urban,02879,21745414
rural,36925,180559
urban,75901,20978961
urban,68845,18603517
rural,56501,7652116
urban,37388,9036764
urban,02301,61352629
urban,65804,87499777
urban,75965,14986748
urban,19096,100167234
urban,93940,109492060
urban,03038,15565728
urban,36545,927261
urban,90710,8722818
urban,79601,95735115
urban,78840,5675233
urban,35653,3284134
urban,70605,1003328
urban,70605,689823
urban,33064,32516639
rural,62246,2320704
urban,11554,44548799
urban,28801,160433244
urban,29560,1428651
urban,43935,2559595
rural,78582,2812834
urban,60068,117189430
urban,33511,48905964
rural,36401,3347889
urban,85941,4195487
urban,72015,11531801
rural,29536,6658806
urban,92663,125993303
urban,60504,40588876
urban,68130,16424111
urban,12550,34817516
urban,49085,43588428
urban,77091,8074326
urban,37862,9226659
urban,40004,6408689
urban,95361,3301352
urban,30303,108817438
rural,98632,20318619
urban,30265,4470897
urban,30265,29917337
urban,22701,13176332
urban,66209,30368212
urban,84143,16821704
rural,67846,13545214
urban,19047,63149898
urban,27261,25263678
urban,78654,10763132
rural,59417,937241
urban,48038,68466698
urban,84302,1698404
rural,75979,1288590
urban,64014,10909380
urban,71953,2137234
rural,36420,6771596
urban,92780,11510872
urban,07039,116612540
urban,88240,4913777
urban,08901,175948097
urban,08901,44750298
urban,08690,23596225
rural,77845,29628803
urban,66112,19310060
urban,53566,9828267
urban,10065,714314634
urban,54729,2543293
urban,67114,10136748
urban,37745,9848292
urban,74820,7302635
urban,74820,16440717
urban,72903,48189076
urban,28791,26121011
rural,49735,4923870
urban,31015,7769476
urban,22304,45908394
urban,64086,34936436
urban,84003,6628796
urban,93274,8293010
urban,77015,2115645
urban,66061,29957318
urban,95336,13209735
urban,49684,86595727
urban,10549,31738971
urban,19023,24298147
urban,32177,17129071
urban,34761,28590268
urban,44113,7481593
urban,93306,18027367
urban,17408,16074375
urban,71105,31784084
urban,72764,26639616
urban,37403,82486035
urban,98195,180257277
urban,06040,17554647
urban,85351,58477525
urban,95819,78507641
urban,33881,44102065
urban,97321,7570448
urban,38635,1117332
urban,44053,21455255
urban,02494,19188418
rural,46750,3100825
urban,45631,11553803
urban,94533,81346755
urban,84020,2561342
urban,97520,6477262
urban,89015,422049
urban,28150,30630077
urban,33609,10725860
urban,01854,62671906
urban,65212,99082935
urban,67226,8409017
urban,67226,11629400
urban,67226,15631801
urban,90026,43314665
urban,30680,3606612
urban,54481,7936629
urban,72120,13638008
rural,26155,1796658
urban,44256,18389250
urban,36305,29570584
urban,27103,111138748
urban,27103,1798841
rural,35650,952689
urban,32117,62146971
urban,14642,148234764
urban,60515,61863126
urban,46052,7404857
urban,52722,8197458
urban,57570,1196668
urban,78759,10860777
rural,94574,40707852
urban,21133,59344774
urban,33573,17364985
urban,72335,2719582
urban,44883,8424995
urban,75035,10417549
urban,38555,17286616
urban,98122,65298588
urban,98122,66561216
urban,80229,13101822
urban,23061,10931414
urban,55987,5082329
urban,19124,971205
urban,93030,70473298
urban,07701,51705161
urban,43512,4006063
rural,64735,8365088
urban,37821,4798626
urban,48867,10927609
urban,78044,34746025
rural,30533,1897524
rural,54501,8832806
rural,30401,2206601
urban,53132,2968128
urban,88130,1542889
urban,37334,3162456
urban,79938,17071632
urban,54241,6595792
urban,83301,29104173
urban,20876,17640487
urban,11418,37836079
urban,43228,26469483
urban,19007,8755816
urban,45405,34642941
urban,70808,81755972
urban,08060,38876713
urban,33407,24592405
urban,27607,98661680
urban,60616,4528077
urban,76065,1884213
rural,71052,1298204
urban,17602,107243742
urban,95065,2305674
urban,95065,81832554
rural,93654,2398985
rural,38358,1826163
urban,01550,13511317
urban,33831,5501033
urban,43054,10622543
urban,21225,37206842
urban,07018,12085484
urban,15501,6327264
urban,91360,102419493
rural,41230,5243503
urban,21061,111578182
urban,92691,66945636
urban,67601,35806521
urban,14830,8848235
urban,36925,180559
rural,79065,5384826
urban,76132,28855419
rural,76661,543502
rural,21550,9391649
urban,52803,47997048
urban,12866,26401320
urban,25701,36937895
urban,61103,26310487
urban,75119,1953063
urban,44622,9721177
rural,41653,9710417
urban,44004,15088160
urban,43081,32703975
urban,93291,96596876
urban,42071,13333574
rural,15767,2519886
urban,15090,391965
urban,75226,22001747
urban,29576,24932786
urban,77437,5749130
rural,44857,16187758
urban,46350,261929
urban,46350,18631829
urban,92311,7391924
rural,14141,1700123
urban,34711,33930024
