Classification,Rndrng Prvdr Zip5,Tot Mdcr Pymt Amt
urban,70112,48514333
urban,06105,84350838
urban,33701,24054990
urban,73110,17120881
urban,32778,50003321
urban,14092,8190191
urban,53405,28553440
urban,92227,14193731
urban,53226,153377974
urban,30458,18666354
urban,71603,26854681
urban,21202,60636889
rural,16105,9422349
urban,21209,34898252
urban,08043,90297181
urban,10457,29859012
urban,96150,9182437
urban,49048,51602090
rural,30830,1527787
urban,33950,13416397
urban,02886,37180689
urban,89801,9252451
urban,32501,51303658
urban,35401,61402301
urban,91710,11515216
rural,38965,1077038
rural,86326,28497786
urban,07675,16302658
urban,48085,105725597
urban,91801,9718531
urban,43608,52583970
urban,60637,208738643
urban,10591,36214968
urban,07601,207915144
urban,34275,2624099
urban,36089,273070
rural,85338,2889791
urban,01069,14564838
urban,39111,2140872
urban,46123,25312462
rural,38852,3427844
urban,63090,14016791
urban,21044,65314386
urban,88011,31135309
urban,88011,23671178
rural,75633,2468679
urban,45069,26514484
urban,30033,31957526
urban,31069,4349123
urban,70535,2780435
urban,94558,39028537
urban,77901,19419533
urban,77901,21951992
urban,77338,34354930
urban,37830,23185242
urban,30533,1897524
urban,40391,8062033
urban,40202,176873702
urban,40202,54949932
urban,40202,69802700
urban,06457,35720986
urban,52761,4351457
urban,86401,28745983
urban,92395,25966936
urban,14621,67948111
rural,56401,14989467
urban,76110,6335327
urban,47802,15760542
urban,83501,21637639
urban,07112,54756845
urban,33331,54175475
urban,33021,76894127
urban,48532,60447547
urban,33143,15756451
urban,33143,33678525
rural,03103,41800697
rural,55350,6248068
urban,19963,23679686
urban,27534,34730667
urban,30824,2363697
urban,28210,49541661
urban,37203,10545562
urban,37203,93041970
urban,53105,7164866
urban,92801,20360950
urban,92262,52774025
urban,46755,4946560
rural,29488,10063523
urban,43616,13417572
urban,43616,7700388
urban,63017,55377864
urban,55426,71915232
urban,17201,48960832
urban,66071,1447702
urban,29150,22347956
urban,16125,5602434
urban,32055,33182270
urban,80138,22482371
rural,72830,3132912
urban,20646,40764656
urban,78026,4867504
urban,60623,4878397
urban,77566,9871611
urban,11570,29732214
urban,14626,30660599
urban,84074,3605229
urban,07302,39283052
urban,78624,7499692
urban,94577,8455547
urban,74501,12106941
urban,06790,18616759
urban,76086,23198517
urban,39301,30722033
urban,39301,16721337
urban,39301,1427152
urban,49431,7557691
urban,12180,23347669
urban,70427,4744302
urban,45005,22713620
urban,84124,35285971
urban,90095,238878226
rural,24343,6567431
urban,64506,86494293
urban,93215,9372665
urban,62801,15721384
urban,22560,8065195
rural,95642,17759613
urban,65807,84105476
urban,18960,25499344
urban,18360,26424942
rural,42602,884127
urban,79720,4443282
urban,19901,69293265
urban,06032,41441570
rural,74523,1754745
urban,52655,22931737
urban,60621,6886690
urban,02114,429688896
urban,02114,7690465
urban,79928,1073155
urban,43040,6749345
urban,84010,7371227
urban,98362,22781715
rural,72112,103519
